Iteration,MuTheta,Lambda2,Sig2Gamma,MuGamma,beta,Sig2Theta,CovThetaGamma,R2,rmse,intercept
12901,-0.24,0.0127,0.0221,-0.2575,1.0027,0.034983999,0.022204945,0.636456062,0.112775089,0.018244402
13001,-0.3277,0.0247,0.0324,-0.263,1.039,0.05973212,0.033689336,0.585984203,0.157257881,-0.054486588
13101,-0.2454,0.0262,0.0163,-0.2409,0.9179,0.039943096,0.014954487,0.343667725,0.161913381,-0.024277436
13201,-0.1875,0.00776,0.0222,-0.2244,0.7342,0.019735976,0.016312945,0.606859012,0.088085306,-0.022729031
13301,-0.2508,0.0151,0.0167,-0.258,0.5361,0.019865229,0.008959816,0.241817067,0.122725213,-0.112535398
13401,-0.2724,0.00938,0.0362,-0.2528,1.048,0.049129028,0.037929728,0.809113689,0.096840379,-0.007476287
13501,-0.1782,0.0575,0.0173,-0.2263,1.0415,0.076251224,0.017985894,0.245665747,0.239831003,0.057495392
13601,-0.3628,0.0485,0.0208,-0.2424,2.2579,0.15429667,0.046856876,0.685668496,0.220227847,0.184616583
13701,-0.3233,0.0174,0.0249,-0.2551,0.2794,0.019355359,0.006970739,0.100627101,0.131938187,-0.252073387
13801,-0.3349,0.0234,0.0333,-0.2948,0.811,0.04525474,0.026986381,0.483642857,0.152864673,-0.095791855
13901,-0.2735,0.0248,0.0234,-0.2519,1.7165,0.093688071,0.040137632,0.735385946,0.157452152,0.158887623
14001,-0.3032,0.0168,0.0304,-0.2785,1.4058,0.076783723,0.042697218,0.781711304,0.129464353,0.088310168
14101,-0.2618,0.0238,0.0249,-0.2083,0.6172,0.033316738,0.015382775,0.284952513,0.154347173,-0.133208185
14201,-0.3083,0.0132,0.0243,-0.1878,0.7118,0.025481688,0.01727101,0.482456355,0.11483852,-0.174620807
14301,-0.2256,0.00206,0.0282,-0.2201,1.2449,0.045778037,0.035118594,0.955033805,0.0453703,0.048352031
14401,-0.2232,0.00733,0.0196,-0.2319,0.8627,0.021930869,0.016919374,0.665591983,0.085637949,-0.023044101
14501,-0.2619,0.00566,0.0356,-0.2599,0.9268,0.036268159,0.033020259,0.843840718,0.075256958,-0.021009947
14601,-0.2969,0.000798,0.0124,-0.2414,0.5988,0.00522709,0.007396361,0.84727408,0.028254418,-0.152371398
